,0,0.075,0.25,0.5,0.75,1,1.25,1.5,SAR
0,0,0,0,0,0,0,0.025,0.062,0
0.5,0.021,0.075,0.113,0.128,0.138,0.149,0.176,0.235,0.12
1,0.067,0.18,0.251,0.276,0.29,0.304,0.338,0.403,0.261
1.5,0.138,0.29,0.38,0.423,0.441,0.46,0.495,0.557,0.401
2,0.235,0.406,0.504,0.56,0.585,0.608,0.639,0.69,0.535
3,0.466,0.625,0.718,0.777,0.806,0.824,0.845,0.867,0.754
4,0.7,0.8,0.87,0.911,0.93,0.943,0.954,0.962,0.845
5,0.883,0.92,0.959,0.978,0.985,0.99,0.994,0.998,0.969
6,0.979,0.983,0.994,0.999,0.999,1,1,1,0.995
7,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1
12,0.985,0.992,0.999,1,1,1,1,1,0.998
13,0.914,0.953,0.979,0.997,1,1,1,1,0.987
14,0.784,0.86,0.925,0.976,0.99,0.996,1,1,0.953
15,0.612,0.728,0.82,0.908,0.953,0.975,0.99,1,0.88
16,0.42,0.565,0.667,0.781,0.863,0.921,0.958,0.987,0.76
17,0.242,0.388,0.483,0.592,0.712,0.817,0.899,0.951,0.594
18,0.105,0.225,0.288,0.365,0.488,0.66,0.794,0.875,0.391
18.5,0.058,0.151,0.197,0.249,0.354,0.554,0.715,0.812,0.282
19,0.028,0.084,0.109,0.135,0.211,0.427,0.614,0.726,0.172
19.5,0.012,0.021,0.025,0.028,0.061,0.278,0.486,0.61,0.06
20,0,0,0,0,0,0.115,0.32,0.451,0.006
MaxBm,0.807,0.947,1,1,1,1,1,1,
